iter	Passed	Remaining
0	139	139630
1	140	70347
2	143	47571
3	144	35981
4	146	29064
5	147	24471
6	149	21173
7	150	18722
8	152	16779
9	153	15201
10	154	13915
11	156	12850
12	157	11941
13	158	11156
14	160	10535
15	162	9965
16	163	9475
17	165	9020
18	166	8609
19	167	8223
20	169	7884
21	170	7580
22	171	7294
23	173	7042
24	174	6812
25	177	6637
26	178	6443
27	180	6249
28	181	6069
29	182	5901
30	183	5739
31	184	5587
32	185	5445
33	187	5322
34	189	5230
35	191	5124
36	192	5013
37	194	4911
38	195	4812
39	196	4714
40	197	4621
41	198	4538
42	200	4462
43	202	4390
44	203	4324
45	205	4253
46	206	4181
47	207	4113
48	208	4050
49	210	3992
50	211	3934
51	213	3890
52	215	3843
53	216	3799
54	218	3747
55	219	3699
56	220	3653
57	222	3612
58	223	3567
59	225	3534
60	228	3512
61	230	3480
62	231	3442
63	232	3405
64	234	3366
65	235	3330
66	236	3294
67	237	3254
68	238	3223
69	240	3199
70	242	3175
71	244	3145
72	245	3115
73	246	3088
74	248	3059
75	249	3031
76	250	3008
77	252	2988
78	254	2968
79	256	2946
80	259	2938
81	260	2918
82	262	2895
83	263	2875
84	265	2853
85	266	2832
86	267	2806
87	268	2782
88	270	2764
89	271	2744
90	272	2724
91	273	2703
92	275	2683
93	276	2666
94	278	2652
95	280	2636
96	281	2617
97	282	2600
98	283	2583
99	285	2565
100	286	2547
101	286	2526
102	288	2510
103	289	2495
104	291	2481
105	293	2471
106	294	2456
107	295	2439
108	296	2423
109	298	2411
110	299	2401
111	302	2394
112	303	2385
113	305	2377
114	307	2364
115	308	2348
116	309	2334
117	310	2320
118	311	2307
119	312	2294
120	313	2280
121	315	2269
122	316	2256
123	317	2246
124	319	2234
125	320	2222
126	321	2211
127	322	2197
128	323	2186
129	324	2174
130	326	2162
131	327	2151
132	328	2143
133	330	2134
134	331	2124
135	332	2114
136	334	2109
137	335	2097
138	336	2087
139	338	2078
140	339	2069
141	340	2059
142	342	2051
143	343	2044
144	345	2036
145	346	2026
146	347	2016
147	348	2008
148	349	1998
149	351	1989
150	352	1981
151	354	1975
152	355	1969
153	357	1961
154	358	1952
155	359	1946
156	360	1938
157	362	1929
158	363	1920
159	364	1911
160	365	1904
161	366	1898
162	368	1893
163	370	1887
164	371	1880
165	372	1872
166	373	1863
167	374	1855
168	376	1849
169	377	1842
170	378	1834
171	381	1835
172	382	1830
173	384	1823
174	385	1815
175	386	1808
176	387	1801
177	388	1795
178	389	1788
179	391	1781
180	391	1772
181	393	1766
182	394	1763
183	396	1757
184	397	1751
185	398	1745
186	400	1740
187	401	1734
188	402	1727
189	403	1721
190	404	1714
191	407	1714
192	409	1710
193	410	1705
194	411	1699
195	412	1693
196	414	1687
197	415	1681
198	416	1676
199	417	1670
200	418	1664
201	420	1660
202	421	1656
203	423	1651
204	424	1645
205	425	1639
206	426	1634
207	427	1629
208	429	1623
209	430	1618
210	431	1613
211	433	1609
212	434	1605
213	435	1600
214	437	1595
215	438	1590
216	439	1585
217	440	1580
218	441	1574
219	442	1570
220	444	1565
221	445	1561
222	447	1557
223	448	1553
224	449	1549
225	450	1543
226	451	1539
227	453	1534
228	454	1529
229	455	1525
230	457	1521
231	458	1518
232	460	1515
233	461	1511
234	462	1506
235	463	1501
236	465	1497
237	466	1492
238	467	1487
239	468	1483
240	469	1480
241	471	1476
242	473	1473
243	474	1471
244	476	1467
245	477	1463
246	478	1458
247	479	1454
248	481	1450
249	482	1446
250	483	1441
251	484	1438
252	486	1436
253	488	1434
254	489	1430
255	490	1426
256	492	1422
257	493	1419
258	494	1416
259	496	1411
260	497	1408
261	498	1404
262	500	1401
263	501	1398
264	502	1394
265	504	1391
266	505	1387
267	506	1383
268	507	1380
269	509	1376
270	510	1372
271	511	1369
272	513	1366
273	514	1363
274	515	1359
275	517	1356
276	518	1352
277	519	1350
278	521	1346
279	522	1342
280	523	1339
281	525	1337
282	526	1334
283	528	1331
284	529	1327
285	530	1324
286	531	1321
287	532	1317
288	534	1314
289	535	1311
290	537	1308
291	538	1306
292	540	1303
293	541	1299
294	542	1296
295	543	1293
296	544	1289
297	546	1286
298	547	1283
299	548	1279
